month,actual_revenue,basic_revenue,advanced_revenue,actual_profit,basic_profit,advanced_profit,actual_units,basic_units,advanced_units,basic_revenue_variance_pct,advanced_revenue_variance_pct
2025-07,65130,72540.0,117195.0,21810.2,24291.600000000006,39245.30000000001,334,372,601,0.11377245508982035,0.7994011976047904
2025-08,117780,105690.0,224250.0,39441.2,35392.600000000006,75095.00000000001,604,542,1150,-0.10264900662251655,0.9039735099337748
2025-09,153075,147030.0,311025.0,51260.5,49236.20000000001,104153.50000000001,785,754,1595,-0.03949044585987261,1.0318471337579618
2025-10,381420,219180.0,498030.0,165771.0,95264.62000000001,216464.27000000002,1956,1124,2554,-0.42535787321063395,0.3057259713701431
2025-11,440310,305955.0,525135.0,191365.5,132980.59500000003,228245.21500000003,2258,1569,2693,-0.3051372896368468,0.19264836138175376
2025-12,505830,455325.0,625560.0,219841.5,197902.92500000002,271894.04000000004,2594,2335,3208,-0.09984579799537394,0.23670007710100233
2026-01,333255,660465.0,698880.0,144837.75,287065.18500000006,303761.92000000004,1709,3387,3584,0.9818607372732592,1.0971328262141604
