month,days,units,revenue,total_cost,profit,avg_daily_units,avg_daily_revenue,gross_margin,revenue_growth_pct
2025-07,31,334,65130,43319.8,21810.2,10.774193548387096,2100.967741935484,0.33487179487179486,
2025-08,31,604,117780,78338.8,39441.2,19.483870967741936,3799.3548387096776,0.33487179487179486,0.8083832335329342
2025-09,30,785,153075,101814.5,51260.5,26.166666666666668,5102.5,0.33487179487179486,0.29966887417218535
2025-10,31,1956,381420,215649.0,165771.0,63.096774193548384,12303.870967741936,0.4346153846153846,1.4917197452229298
2025-11,30,2258,440310,248944.5,191365.5,75.26666666666667,14677.0,0.4346153846153846,0.15439672801635984
2025-12,31,2594,505830,285988.5,219841.5,83.6774193548387,16317.09677419355,0.4346153846153846,0.1488042515500443
2026-01,31,1709,333255,188417.25,144837.75,55.12903225806452,10750.161290322581,0.4346153846153846,-0.3411719352351581
